Label,Category,"Color (R, G, B)"
0,person,"(220, 20, 60)"
1,bicycle,"(119, 11, 32)"
2,car,"(0, 0, 142)"
3,motorcycle,"(0, 0, 230)"
4,airplane,"(106, 0, 228)"
5,bus,"(0, 60, 100)"
6,train,"(0, 80, 100)"
7,truck,"(0, 0, 70)"
8,boat,"(0, 0, 192)"
9,traffic light,"(250, 170, 30)"
10,fire hydrant,"(100, 170, 30)"
11,stop sign,"(220, 220, 0)"
12,parking meter,"(175, 116, 175)"
13,bench,"(250, 0, 30)"
14,bird,"(165, 42, 42)"
15,cat,"(255, 77, 255)"
16,dog,"(0, 226, 252)"
17,horse,"(182, 182, 255)"
18,sheep,"(0, 82, 0)"
19,cow,"(120, 166, 157)"
20,elephant,"(110, 76, 0)"
21,bear,"(174, 57, 255)"
22,zebra,"(199, 100, 0)"
23,giraffe,"(72, 0, 118)"
24,backpack,"(255, 179, 240)"
25,umbrella,"(0, 125, 92)"
26,handbag,"(209, 0, 151)"
27,tie,"(188, 208, 182)"
28,suitcase,"(0, 220, 176)"
29,frisbee,"(255, 99, 164)"
30,skis,"(92, 0, 73)"
31,snowboard,"(133, 129, 255)"
32,sports ball,"(78, 180, 255)"
33,kite,"(0, 228, 0)"
34,baseball bat,"(174, 255, 243)"
35,baseball glove,"(45, 89, 255)"
36,skateboard,"(134, 134, 103)"
37,surfboard,"(145, 148, 174)"
38,tennis racket,"(255, 208, 186)"
39,bottle,"(197, 226, 255)"
40,wine glass,"(171, 134, 1)"
41,cup,"(109, 63, 54)"
42,fork,"(207, 138, 255)"
43,knife,"(151, 0, 95)"
44,spoon,"(9, 80, 61)"
45,bowl,"(84, 105, 51)"
46,banana,"(74, 65, 105)"
47,apple,"(166, 196, 102)"
48,sandwich,"(208, 195, 210)"
49,orange,"(255, 109, 65)"
50,broccoli,"(0, 143, 149)"
51,carrot,"(179, 0, 194)"
52,hot dog,"(209, 99, 106)"
53,pizza,"(5, 121, 0)"
54,donut,"(227, 255, 205)"
55,cake,"(147, 186, 208)"
56,chair,"(153, 69, 1)"
57,couch,"(3, 95, 161)"
58,potted plant,"(163, 255, 0)"
59,bed,"(119, 0, 170)"
60,dining table,"(0, 182, 199)"
61,toilet,"(0, 165, 120)"
62,TV,"(183, 130, 88)"
63,laptop,"(95, 32, 0)"
64,mouse,"(130, 114, 135)"
65,remote,"(110, 129, 133)"
66,keyboard,"(166, 74, 118)"
67,cell phone,"(219, 142, 185)"
68,microwave,"(79, 210, 114)"
69,oven,"(178, 90, 62)"
70,toaster,"(65, 70, 15)"
71,sink,"(127, 167, 115)"
72,refrigerator,"(59, 105, 106)"
73,book,"(142, 108, 45)"
74,clock,"(196, 172, 0)"
75,vase,"(95, 54, 80)"
76,scissors,"(128, 76, 255)"
77,teddy bear,"(201, 57, 1)"
78,hair drier,"(246, 0, 122)"
79,toothbrush,"(191, 162, 208)"
